도시,시군구,성별,대상인원,수검인원
서울,종로구,남자,27770,19198
서울,종로구,여자,28509,20276
서울,중구,남자,24360,16573
서울,중구,여자,24672,17476
서울,용산구,남자,40684,28025
서울,용산구,여자,41213,28607
서울,성동구,남자,56961,41862
서울,성동구,여자,55117,40161
서울,광진구,남자,66101,49214
서울,광진구,여자,66507,50165
서울,동대문구,남자,64406,47082
서울,동대문구,여자,62903,46957
서울,중랑구,남자,76690,56832
서울,중랑구,여자,73813,56471
서울,성북구,남자,78009,56962
서울,성북구,여자,78799,57848
서울,강북구,남자,57604,41730
서울,강북구,여자,58744,43647
서울,도봉구,남자,63545,47646
서울,도봉구,여자,62467,46920
서울,노원구,남자,97385,75506
서울,노원구,여자,95990,72285
서울,은평구,남자,87271,65746
서울,은평구,여자,88534,66821
서울,서대문구,남자,55332,41321
서울,서대문구,여자,57047,43120
서울,마포구,남자,66378,49011
서울,마포구,여자,68733,50574
서울,양천구,남자,85315,64811
서울,양천구,여자,81681,61003
서울,강서구,남자,113887,90003
서울,강서구,여자,111063,87321
서울,구로구,남자,83777,64667
서울,구로구,여자,79121,61520
서울,금천구,남자,49970,37998
서울,금천구,여자,45258,35165
서울,영등포구,남자,76052,57062
서울,영등포구,여자,72218,54497
서울,동작구,남자,73154,55832
서울,동작구,여자,73167,55329
서울,관악구,남자,96524,72131
서울,관악구,여자,91875,70319
서울,서초구,남자,76554,54464
서울,서초구,여자,76259,52120
서울,강남구,남자,94884,65351
서울,강남구,여자,98015,66029
서울,송파구,남자,122350,92605
서울,송파구,여자,119088,89196
서울,강동구,남자,81244,61589
서울,강동구,여자,79425,60488
부산,소계,남자,679723,531672
부산,소계,여자,635389,483158
부산,중구,남자,8400,5853
부산,중구,여자,8441,5937
부산,서구,남자,21104,15758
부산,서구,여자,20887,15473
부산,동구,남자,16894,12838
부산,동구,여자,16612,12372
부산,영도구,남자,23454,18153
부산,영도구,여자,22423,16834
부산,부산진구,남자,70759,54148
부산,부산진구,여자,69878,53047
부산,동래구,남자,51643,41085
부산,동래구,여자,50344,39246
부산,남구,남자,52522,40358
부산,남구,여자,50674,37871
부산,북구,남자,59821,48032
부산,북구,여자,54681,42828
부산,해운대구,남자,76368,59331
부산,해운대구,여자,74612,55457
부산,사하구,남자,69708,56090
부산,사하구,여자,61023,47132
부산,금정구,남자,46862,36635
부산,금정구,여자,45861,35226
부산,강서구,남자,29319,23922
부산,강서구,여자,18303,13674
부산,연제구,남자,39266,30618
부산,연제구,여자,38637,29796
부산,수영구,남자,33379,25045
부산,수영구,여자,34290,25301
부산,사상구,남자,48495,38429
부산,사상구,여자,42511,33418
부산,기장군,남자,31729,25377
부산,기장군,여자,26212,19546
대구,소계,남자,482577,371745
대구,소계,여자,440278,331514
대구,중구,남자,14684,10425
대구,중구,여자,14618,10565
대구,동구,남자,68378,52696
대구,동구,여자,63312,48053
대구,서구,남자,38741,28830
대구,서구,여자,36393,27692
대구,남구,남자,27516,19592
대구,남구,여자,28254,20140
대구,북구,남자,86148,66510
대구,북구,여자,78072,59677
대구,수성구,남자,78062,58916
대구,수성구,여자,76275,55480
대구,달서구,남자,114318,90264
대구,달서구,여자,102632,78528
대구,달성군,남자,54730,44512
대구,달성군,여자,40722,31379
인천,소계,남자,599308,475688
인천,소계,여자,516643,399412
인천,중구,남자,26614,21452
인천,중구,여자,20861,16378
인천,동구,남자,14859,11848
인천,동구,여자,12602,9804
인천,남구,남자,83891,65661
인천,남구,여자,74975,58155
인천,연수구,남자,66319,53591
인천,연수구,여자,56628,43440
인천,남동구,남자,111170,88899
인천,남동구,여자,94233,72670
인천,부평구,남자,105725,83880
인천,부평구,여자,95874,74383
인천,계양구,남자,63438,49652
인천,계양구,여자,57592,44638
인천,서구,남자,107201,85684
인천,서구,여자,86959,67691
인천,강화군,남자,13653,9522
인천,강화군,여자,13231,9330
인천,옹진군,남자,6438,5499
인천,옹진군,여자,3688,2923
광주,소계,남자,272314,218041
광주,소계,여자,252276,200376
광주,동구,남자,17420,12985
광주,동구,여자,17090,13267
광주,서구,남자,55893,44869
광주,서구,여자,53628,42447
광주,남구,남자,37975,29834
광주,남구,여자,39439,31265
광주,북구,남자,80583,63993
광주,북구,여자,76190,60669
광주,광산구,남자,80443,66360
광주,광산구,여자,65929,52728
대전,소계,남자,294430,239093
대전,소계,여자,264517,212304
대전,동구,남자,44555,34739
대전,동구,여자,40105,31737
대전,중구,남자,46827,36834
대전,중구,여자,45806,36623
대전,서구,남자,91635,74335
대전,서구,여자,87194,70524
대전,유성구,남자,72981,62016
대전,유성구,여자,57914,46617
대전,대덕구,남자,38432,31169
대전,대덕구,여자,33498,26803
울산,소계,남자,269256,230289
울산,소계,여자,193533,146390
울산,중구,남자,52604,44190
울산,중구,여자,41434,31683
울산,남구,남자,74835,62868
울산,남구,여자,57198,42468
울산,동구,남자,42099,37839
울산,동구,여자,26829,20902
울산,북구,남자,49111,43731
울산,북구,여자,30981,23694
울산,울주군,남자,50607,41661
울산,울주군,여자,37091,27643
세종,소계,남자,57979,47903
세종,소계,여자,45328,35288
경기,소계,남자,2651159,2072339
경기,소계,여자,2241332,1699542
경기,수원시장안구,남자,57448,45586
경기,수원시장안구,여자,51932,40015
경기,수원시권선구,남자,75731,59768
경기,수원시권선구,여자,63809,48563
경기,수원시팔달구,남자,39567,30230
경기,수원시팔달구,여자,36292,27508
경기,수원시영통구,남자,76477,65105
경기,수원시영통구,여자,58528,43838
경기,성남시수정구,남자,47146,35771
경기,성남시수정구,여자,43353,33854
경기,성남시중원구,남자,45800,34840
경기,성남시중원구,여자,42623,33384
경기,성남시분당구,남자,90318,68931
경기,성남시분당구,여자,85512,61096
경기,의정부시,남자,81611,61838
경기,의정부시,여자,78400,59634
경기,안양시만안구,남자,52215,40601
경기,안양시만안구,여자,46812,35652
경기,안양시동안구,남자,64105,51389
경기,안양시동안구,여자,59388,45630
경기,부천시,남자,167688,130253
경기,부천시,여자,155953,121418
경기,광명시,남자,64730,51501
경기,광명시,여자,59654,46059
경기,평택시,남자,110802,89652
경기,평택시,여자,81994,62164
경기,동두천시,남자,18793,14068
경기,동두천시,여자,16897,12441
경기,안산시상록구,남자,75285,58095
경기,안산시상록구,여자,62802,47136
경기,안산시단원구,남자,77090,62469
경기,안산시단원구,여자,59315,46146
경기,고양시덕양구,남자,84781,65630
경기,고양시덕양구,여자,78582,60946
경기,고양시일산동구,남자,53416,40126
경기,고양시일산동구,여자,52171,39123
경기,고양시일산서구,남자,53486,41836
경기,고양시일산서구,여자,51890,39247
경기,과천시,남자,10195,7800
경기,과천시,여자,9816,7048
경기,구리시,남자,36665,27885
경기,구리시,여자,34454,26288
경기,남양주시,남자,123106,90769
경기,남양주시,여자,111329,83533
경기,오산시,남자,45065,36154
경기,오산시,여자,34742,26497
경기,시흥시,남자,99258,78047
경기,시흥시,여자,71692,54452
경기,군포시,남자,57185,46161
경기,군포시,여자,50718,39412
경기,의왕시,남자,31371,24697
경기,의왕시,여자,27737,21173
경기,하남시,남자,45149,33863
경기,하남시,여자,39207,29320
경기,용인시처인구,남자,49956,37858
경기,용인시처인구,여자,40663,30753
경기,용인시기흥구,남자,79420,62629
경기,용인시기흥구,여자,67706,49357
경기,용인시수지구,남자,63470,49555
경기,용인시수지구,여자,56947,40005
경기,파주시,남자,96133,77491
경기,파주시,여자,74272,57502
경기,이천시,남자,47902,37493
경기,이천시,여자,40058,31004
경기,안성시,남자,43035,34450
경기,안성시,여자,33584,26288
경기,김포시,남자,84668,65607
경기,김포시,여자,64893,49315
경기,화성시,남자,175091,145610
경기,화성시,여자,114073,87090
경기,광주시,남자,73923,55059
경기,광주시,여자,59304,45068
경기,양주시,남자,45620,34709
경기,양주시,여자,36301,27367
경기,포천시,남자,38516,28278
경기,포천시,여자,27700,20586
경기,여주시,남자,23317,17127
경기,여주시,여자,20483,15063
경기,연천군,남자,10473,7956
경기,연천군,여자,7605,5431
경기,가평군,남자,12731,9354
경기,가평군,여자,11354,8327
경기,양평군,남자,22421,16098
경기,양평군,여자,20787,14809
강원,소계,남자,317806,247888
강원,소계,여자,280375,213250
강원,춘천시,남자,53182,41914
강원,춘천시,여자,51164,40323
강원,원주시,남자,67667,53529
강원,원주시,여자,61137,47900
강원,강릉시,남자,41690,32064
강원,강릉시,여자,39950,30415
강원,동해시,남자,19970,15795
강원,동해시,여자,16076,11818
강원,태백시,남자,9666,7663
강원,태백시,여자,8420,6230
강원,속초시,남자,15738,11735
강원,속초시,여자,14539,10491
강원,삼척시,남자,14231,11279
강원,삼척시,여자,12290,8995
강원,홍천군,남자,15123,11655
강원,홍천군,여자,13205,10039
강원,횡성군,남자,9852,7340
강원,횡성군,여자,9104,6877
강원,영월군,남자,8549,6328
강원,영월군,여자,7672,5556
강원,평창군,남자,8644,6180
강원,평창군,여자,8016,5783
강원,정선군,남자,8294,6104
강원,정선군,여자,7283,5352
강원,철원군,남자,11216,9043
강원,철원군,여자,7816,5829
강원,화천군,남자,7382,6240
강원,화천군,여자,4178,3139
강원,양구군,남자,6117,5046
강원,양구군,여자,3686,2707
강원,인제군,남자,8453,6869
강원,인제군,여자,5338,4038
강원,고성군,남자,6361,4798
강원,고성군,여자,5233,3722
강원,양양군,남자,5671,4306
강원,양양군,여자,5268,4036
충북,소계,남자,350873,284490
충북,소계,여자,295838,233085
충북,청주시상당구,남자,34214,27425
충북,청주시상당구,여자,30940,24292
충북,청주시서원구,남자,43773,35865
충북,청주시서원구,여자,39588,31747
충북,청주시흥덕구,남자,56286,47072
충북,청주시흥덕구,여자,47358,38293
충북,청주시청원구,남자,44527,37210
충북,청주시청원구,여자,33947,27131
충북,충주시,남자,45207,35550
충북,충주시,여자,38516,29688
충북,제천시,남자,28225,22178
충북,제천시,여자,24968,19322
충북,보은군,남자,7080,5334
충북,보은군,여자,6757,5035
충북,옥천군,남자,11159,8853
충북,옥천군,여자,10422,8197
충북,영동군,남자,10066,7830
충북,영동군,여자,9850,7419
충북,증평군,남자,8728,7187
충북,증평군,여자,6593,5139
충북,진천군,남자,20161,16978
충북,진천군,여자,14355,11673
충북,괴산군,남자,8352,6153
충북,괴산군,여자,7683,5591
충북,음성군,남자,26603,21705
충북,음성군,여자,18884,14965
충북,단양군,남자,6492,5150
충북,단양군,여자,5977,4593
충남,소계,남자,470825,370677
충남,소계,여자,378050,280712
충남,천안시동남구,남자,54459,41957
충남,천안시동남구,여자,44994,33575
충남,천안시서북구,남자,85865,70282
충남,천안시서북구,여자,64088,48714
충남,공주시,남자,21618,16555
충남,공주시,여자,20624,15510
충남,보령시,남자,21702,16418
충남,보령시,여자,19111,14316
충남,아산시,남자,74439,61036
충남,아산시,여자,51980,38440
충남,서산시,남자,40586,32823
충남,서산시,여자,29670,21532
충남,논산시,남자,24743,18533
충남,논산시,여자,22822,17066
